,index,year,country,population,color
0,0,1969,China,801430976.0,"rgb(255, 0, 0)"
1,1,1969,India,545314688.0,"rgb(252, 232, 3)"
2,2,1969,United States,197859328.0,"rgb(75, 120, 184)"
3,3,1969,Indonesia,112149256.0,"rgb(255, 124, 31)"
4,4,1969,Japan,104102072.0,"rgb(191, 63, 191)"
5,5,1969,Brazil,94000384.0,"rgb(65, 217, 209)"
6,6,1969,Germany,78012488.0,"rgb(0, 0, 0)"
7,7,1969,Bangladesh,65866916.0,"rgb(75, 227, 171)"
8,8,1969,Pakistan,57676804.0,"rgb(2, 161, 49)"
9,9,1969,United Kingdom,55420524.0,"rgb(0, 36, 125)"
