,index,year,country,population,color
0,0,1975,China,915124672.0,"rgb(255, 0, 0)"
1,1,1975,India,623524224.0,"rgb(252, 232, 3)"
2,2,1975,United States,211274544.0,"rgb(75, 120, 184)"
3,3,1975,Indonesia,131213216.0,"rgb(255, 124, 31)"
4,4,1975,Japan,112411640.0,"rgb(191, 63, 191)"
5,5,1975,Brazil,108700512.0,"rgb(65, 217, 209)"
6,6,1975,Germany,78513512.0,"rgb(0, 0, 0)"
7,7,1975,Bangladesh,74700344.0,"rgb(75, 227, 171)"
8,8,1975,Pakistan,68127000.0,"rgb(2, 161, 49)"
9,9,1975,Nigeria,62851316.0,"rgb(0, 128, 0)"
