,index,year,country,population,color
0,0,2011,China,1357095424.0,"rgb(255, 0, 0)"
1,1,2011,India,1257621248.0,"rgb(252, 232, 3)"
2,2,2011,United States,313876608.0,"rgb(75, 120, 184)"
3,3,2011,Indonesia,247099696.0,"rgb(255, 124, 31)"
4,4,2011,Pakistan,198602736.0,"rgb(2, 161, 49)"
5,5,2011,Brazil,198185296.0,"rgb(65, 217, 209)"
6,6,2011,Nigeria,165463744.0,"rgb(0, 128, 0)"
7,7,2011,Bangladesh,150211008.0,"rgb(75, 227, 171)"
8,8,2011,Russia,143364544.0,"rgb(75, 155, 184)"
9,9,2011,Japan,128007256.0,"rgb(191, 63, 191)"
