,index,year,country,population,color
0,0,1920,China,463330522.0,"rgb(255, 0, 0)"
1,1,1920,India,300639878.0,"rgb(252, 232, 3)"
2,2,1920,United States,103898175.0,"rgb(75, 120, 184)"
3,3,1920,Germany,63273356.0,"rgb(0, 0, 0)"
4,4,1920,Japan,56328237.0,"rgb(191, 63, 191)"
5,5,1920,Indonesia,47304303.0,"rgb(255, 124, 31)"
6,6,1920,United Kingdom,46564792.0,"rgb(0, 36, 125)"
7,7,1920,France,38529587.0,"rgb(227, 98, 158)"
8,8,1920,Italy,36967588.0,"rgb(131, 14, 173)"
9,9,1920,Bangladesh,28623503.0,"rgb(75, 227, 171)"
