,index,year,country,population,color
0,0,1959,China,652179200.0,"rgb(255, 0, 0)"
1,1,1959,India,435900352.0,"rgb(252, 232, 3)"
2,2,1959,United States,173324608.0,"rgb(75, 120, 184)"
3,3,1959,Japan,93575984.0,"rgb(191, 63, 191)"
4,4,1959,Indonesia,86047672.0,"rgb(255, 124, 31)"
5,5,1959,Germany,72578952.0,"rgb(0, 0, 0)"
6,6,1959,Brazil,70880824.0,"rgb(65, 217, 209)"
7,7,1959,United Kingdom,52241648.0,"rgb(0, 36, 125)"
8,8,1959,Italy,49224672.0,"rgb(131, 14, 173)"
9,9,1959,Bangladesh,49004964.0,"rgb(75, 227, 171)"
