,index,year,country,population,color
0,0,1979,China,968298944.0,"rgb(255, 0, 0)"
1,1,1979,India,681248384.0,"rgb(252, 232, 3)"
2,2,1979,United States,220463104.0,"rgb(75, 120, 184)"
3,3,1979,Indonesia,144693088.0,"rgb(255, 124, 31)"
4,4,1979,Brazil,119447304.0,"rgb(65, 217, 209)"
5,5,1979,Japan,116765512.0,"rgb(191, 63, 191)"
6,6,1979,Bangladesh,81908160.0,"rgb(75, 227, 171)"
7,7,1979,Germany,77915728.0,"rgb(0, 0, 0)"
8,8,1979,Pakistan,77407344.0,"rgb(2, 161, 49)"
9,9,1979,Nigeria,70750312.0,"rgb(0, 128, 0)"
