,index,year,country,population,color
0,0,1956,China,616283008.0,"rgb(255, 0, 0)"
1,1,1956,India,407656608.0,"rgb(252, 232, 3)"
2,2,1956,United States,164063408.0,"rgb(75, 120, 184)"
3,3,1956,Japan,91021560.0,"rgb(191, 63, 191)"
4,4,1956,Indonesia,79661840.0,"rgb(255, 124, 31)"
5,5,1956,Germany,71473272.0,"rgb(0, 0, 0)"
6,6,1956,Brazil,64644888.0,"rgb(65, 217, 209)"
7,7,1956,United Kingdom,51421616.0,"rgb(0, 36, 125)"
8,8,1956,Italy,48403440.0,"rgb(131, 14, 173)"
9,9,1956,Bangladesh,45407672.0,"rgb(75, 227, 171)"
