,index,year,country,population,color
0,0,1936,China,499553692.0,"rgb(255, 0, 0)"
1,1,1936,India,358092638.0,"rgb(252, 232, 3)"
2,2,1936,United States,125322686.0,"rgb(75, 120, 184)"
3,3,1936,Germany,70133471.0,"rgb(0, 0, 0)"
4,4,1936,Japan,69874936.0,"rgb(191, 63, 191)"
5,5,1936,Indonesia,58274749.0,"rgb(255, 124, 31)"
6,6,1936,United Kingdom,47185735.0,"rgb(0, 36, 125)"
7,7,1936,Italy,42229584.0,"rgb(131, 14, 173)"
8,8,1936,France,40452232.0,"rgb(227, 98, 158)"
9,9,1936,Brazil,38188072.0,"rgb(65, 217, 209)"
