,index,year,country,population,color
0,0,1911,China,422690056.0,"rgb(255, 0, 0)"
1,1,1911,India,296313651.0,"rgb(252, 232, 3)"
2,2,1911,United States,91585865.0,"rgb(75, 120, 184)"
3,3,1911,Germany,64333569.0,"rgb(0, 0, 0)"
4,4,1911,Japan,50479280.0,"rgb(191, 63, 191)"
5,5,1911,United Kingdom,44990527.0,"rgb(0, 36, 125)"
6,6,1911,Indonesia,43254585.0,"rgb(255, 124, 31)"
7,7,1911,France,40224160.0,"rgb(227, 98, 158)"
8,8,1911,Italy,36098124.0,"rgb(131, 14, 173)"
9,9,1911,Bangladesh,27986023.0,"rgb(75, 227, 171)"
