,index,year,country,population,color
0,0,1900,China,395929430.0,"rgb(255, 0, 0)"
1,1,1900,India,280714154.0,"rgb(252, 232, 3)"
2,2,1900,United States,74829905.0,"rgb(75, 120, 184)"
3,3,1900,Germany,55775391.0,"rgb(0, 0, 0)"
4,4,1900,Japan,44416502.0,"rgb(191, 63, 191)"
5,5,1900,United Kingdom,41089602.0,"rgb(0, 36, 125)"
6,6,1900,France,40019136.0,"rgb(227, 98, 158)"
7,7,1900,Indonesia,38179623.0,"rgb(255, 124, 31)"
8,8,1900,Italy,33332371.0,"rgb(131, 14, 173)"
9,9,1900,Bangladesh,26849595.0,"rgb(75, 227, 171)"
