,index,year,country,population,color
0,0,1955,China,603320128.0,"rgb(255, 0, 0)"
1,1,1955,India,398577984.0,"rgb(252, 232, 3)"
2,2,1955,United States,161136448.0,"rgb(75, 120, 184)"
3,3,1955,Japan,90090280.0,"rgb(191, 63, 191)"
4,4,1955,Indonesia,77741512.0,"rgb(255, 124, 31)"
5,5,1955,Germany,71222632.0,"rgb(0, 0, 0)"
6,6,1955,Brazil,62701036.0,"rgb(65, 217, 209)"
7,7,1955,United Kingdom,51193272.0,"rgb(0, 36, 125)"
8,8,1955,Italy,48130728.0,"rgb(131, 14, 173)"
9,9,1955,Bangladesh,44315552.0,"rgb(75, 227, 171)"
