,index,year,country,population,color
0,0,1910,China,419058430.0,"rgb(255, 0, 0)"
1,1,1910,India,295496971.0,"rgb(252, 232, 3)"
2,2,1910,United States,90151889.0,"rgb(75, 120, 184)"
3,3,1910,Germany,64056716.0,"rgb(0, 0, 0)"
4,4,1910,Japan,49880362.0,"rgb(191, 63, 191)"
5,5,1910,United Kingdom,44723743.0,"rgb(0, 36, 125)"
6,6,1910,Indonesia,42820498.0,"rgb(255, 124, 31)"
7,7,1910,France,40344819.0,"rgb(227, 98, 158)"
8,8,1910,Italy,35939804.0,"rgb(131, 14, 173)"
9,9,1910,Bangladesh,27913022.0,"rgb(75, 227, 171)"
