,index,year,country,population,color
0,0,2003,China,1288873344.0,"rgb(255, 0, 0)"
1,1,2003,India,1117415168.0,"rgb(252, 232, 3)"
2,2,2003,United States,291109824.0,"rgb(75, 120, 184)"
3,3,2003,Indonesia,223080128.0,"rgb(255, 124, 31)"
4,4,2003,Brazil,182629280.0,"rgb(65, 217, 209)"
5,5,2003,Pakistan,166876672.0,"rgb(2, 161, 49)"
6,6,2003,Russia,144946720.0,"rgb(75, 155, 184)"
7,7,2003,Bangladesh,136503216.0,"rgb(75, 227, 171)"
8,8,2003,Nigeria,133119808.0,"rgb(0, 128, 0)"
9,9,2003,Japan,127502352.0,"rgb(191, 63, 191)"
