,index,year,country,population,color
0,0,1903,China,402259874.0,"rgb(255, 0, 0)"
1,1,1903,India,284812956.0,"rgb(252, 232, 3)"
2,2,1903,United States,79187838.0,"rgb(75, 120, 184)"
3,3,1903,Germany,58300637.0,"rgb(0, 0, 0)"
4,4,1903,Japan,45948233.0,"rgb(191, 63, 191)"
5,5,1903,United Kingdom,42193357.0,"rgb(0, 36, 125)"
6,6,1903,France,40166299.0,"rgb(227, 98, 158)"
7,7,1903,Indonesia,39646401.0,"rgb(255, 124, 31)"
8,8,1903,Italy,34099919.0,"rgb(131, 14, 173)"
9,9,1903,Bangladesh,27177073.0,"rgb(75, 227, 171)"
