,index,year,country,population,color
0,0,1946,China,527915947.0,"rgb(255, 0, 0)"
1,1,1946,India,362036112.0,"rgb(252, 232, 3)"
2,2,1946,United States,140031458.0,"rgb(75, 120, 184)"
3,3,1946,Japan,79918650.0,"rgb(191, 63, 191)"
4,4,1946,Germany,71225935.0,"rgb(0, 0, 0)"
5,5,1946,Indonesia,65358783.0,"rgb(255, 124, 31)"
6,6,1946,United Kingdom,49271606.0,"rgb(0, 36, 125)"
7,7,1946,Brazil,48485805.0,"rgb(65, 217, 209)"
8,8,1946,Italy,45274723.0,"rgb(131, 14, 173)"
9,9,1946,France,41101259.0,"rgb(227, 98, 158)"
