,index,year,country,population,color
0,0,1927,China,477048778.0,"rgb(255, 0, 0)"
1,1,1927,India,319934973.0,"rgb(252, 232, 3)"
2,2,1927,United States,115040131.0,"rgb(75, 120, 184)"
3,3,1927,Germany,65901264.0,"rgb(0, 0, 0)"
4,4,1927,Japan,62052369.0,"rgb(191, 63, 191)"
5,5,1927,Indonesia,51467289.0,"rgb(255, 124, 31)"
6,6,1927,United Kingdom,46069379.0,"rgb(0, 36, 125)"
7,7,1927,France,40028393.0,"rgb(227, 98, 158)"
8,8,1927,Italy,39134505.0,"rgb(131, 14, 173)"
9,9,1927,Brazil,31816757.0,"rgb(65, 217, 209)"
