,index,year,country,population,color
0,0,1931,China,485235901.0,"rgb(255, 0, 0)"
1,1,1931,India,334232641.0,"rgb(252, 232, 3)"
2,2,1931,United States,120830953.0,"rgb(75, 120, 184)"
3,3,1931,Germany,67711026.0,"rgb(0, 0, 0)"
4,4,1931,Japan,65529121.0,"rgb(191, 63, 191)"
5,5,1931,Indonesia,54167255.0,"rgb(255, 124, 31)"
6,6,1931,United Kingdom,46081427.0,"rgb(0, 36, 125)"
7,7,1931,France,40687278.0,"rgb(227, 98, 158)"
8,8,1931,Italy,40501139.0,"rgb(131, 14, 173)"
9,9,1931,Brazil,34506006.0,"rgb(65, 217, 209)"
