,index,year,country,population,color
0,0,1947,China,530702750.0,"rgb(255, 0, 0)"
1,1,1947,India,359345897.0,"rgb(252, 232, 3)"
2,2,1947,United States,141977937.0,"rgb(75, 120, 184)"
3,3,1947,Japan,81033105.0,"rgb(191, 63, 191)"
4,4,1947,Germany,71075562.0,"rgb(0, 0, 0)"
5,5,1947,Indonesia,66226965.0,"rgb(255, 124, 31)"
6,6,1947,Brazil,49774257.0,"rgb(65, 217, 209)"
7,7,1947,United Kingdom,49462466.0,"rgb(0, 36, 125)"
8,8,1947,Italy,45549326.0,"rgb(131, 14, 173)"
9,9,1947,France,41250956.0,"rgb(227, 98, 158)"
