,index,year,country,population,color
0,0,1932,China,487883101.0,"rgb(255, 0, 0)"
1,1,1932,India,338643856.0,"rgb(252, 232, 3)"
2,2,1932,United States,121861566.0,"rgb(75, 120, 184)"
3,3,1932,Germany,68184518.0,"rgb(0, 0, 0)"
4,4,1932,Japan,66388515.0,"rgb(191, 63, 191)"
5,5,1932,Indonesia,54965265.0,"rgb(255, 124, 31)"
6,6,1932,United Kingdom,46248173.0,"rgb(0, 36, 125)"
7,7,1932,Italy,40843255.0,"rgb(131, 14, 173)"
8,8,1932,France,40691906.0,"rgb(227, 98, 158)"
9,9,1932,Brazil,35212919.0,"rgb(65, 217, 209)"
