,index,year,country,population,color
0,0,1982,China,1013483200.0,"rgb(255, 0, 0)"
1,1,1982,India,729169472.0,"rgb(252, 232, 3)"
2,2,1982,United States,228001424.0,"rgb(75, 120, 184)"
3,3,1982,Indonesia,155228656.0,"rgb(255, 124, 31)"
4,4,1982,Brazil,128065104.0,"rgb(65, 217, 209)"
5,5,1982,Japan,119098144.0,"rgb(191, 63, 191)"
6,6,1982,Bangladesh,88555344.0,"rgb(75, 227, 171)"
7,7,1982,Pakistan,87828200.0,"rgb(2, 161, 49)"
8,8,1982,Germany,77610424.0,"rgb(0, 0, 0)"
9,9,1982,Nigeria,77388072.0,"rgb(0, 128, 0)"
