,index,year,country,population,color
0,0,1995,China,1218144384.0,"rgb(255, 0, 0)"
1,1,1995,India,964279104.0,"rgb(252, 232, 3)"
2,2,1995,United States,265660560.0,"rgb(75, 120, 184)"
3,3,1995,Indonesia,198140160.0,"rgb(255, 124, 31)"
4,4,1995,Brazil,163515328.0,"rgb(65, 217, 209)"
5,5,1995,Russia,148557456.0,"rgb(75, 155, 184)"
6,6,1995,Pakistan,133117480.0,"rgb(2, 161, 49)"
7,7,1995,Japan,125433968.0,"rgb(191, 63, 191)"
8,8,1995,Bangladesh,117793336.0,"rgb(75, 227, 171)"
9,9,1995,Nigeria,108187616.0,"rgb(0, 128, 0)"
