,index,year,country,population,color
0,0,1997,China,1237801472.0,"rgb(255, 0, 0)"
1,1,1997,India,1002335232.0,"rgb(252, 232, 3)"
2,2,1997,United States,272395424.0,"rgb(75, 120, 184)"
3,3,1997,Indonesia,204628016.0,"rgb(255, 124, 31)"
4,4,1997,Brazil,168546704.0,"rgb(65, 217, 209)"
5,5,1997,Russia,147939968.0,"rgb(75, 155, 184)"
6,6,1997,Pakistan,141330272.0,"rgb(2, 161, 49)"
7,7,1997,Japan,126027984.0,"rgb(191, 63, 191)"
8,8,1997,Bangladesh,122039232.0,"rgb(75, 227, 171)"
9,9,1997,Nigeria,113791184.0,"rgb(0, 128, 0)"
