,index,year,country,population,color
0,0,1985,China,1060240000.0,"rgb(255, 0, 0)"
1,1,1985,India,780242112.0,"rgb(252, 232, 3)"
2,2,1985,United States,235146176.0,"rgb(75, 120, 184)"
3,3,1985,Indonesia,165791696.0,"rgb(255, 124, 31)"
4,4,1985,Russia,142896384.0,"rgb(75, 155, 184)"
5,5,1985,Brazil,136783184.0,"rgb(65, 217, 209)"
6,6,1985,Japan,121119024.0,"rgb(191, 63, 191)"
7,7,1985,Pakistan,97121552.0,"rgb(2, 161, 49)"
8,8,1985,Bangladesh,95959104.0,"rgb(75, 227, 171)"
9,9,1985,Nigeria,83585256.0,"rgb(0, 128, 0)"
