,index,year,country,population,color
0,0,2013,China,1376100352.0,"rgb(255, 0, 0)"
1,1,2013,India,1291132032.0,"rgb(252, 232, 3)"
2,2,2013,United States,319375168.0,"rgb(75, 120, 184)"
3,3,2013,Indonesia,253275920.0,"rgb(255, 124, 31)"
4,4,2013,Pakistan,205337552.0,"rgb(2, 161, 49)"
5,5,2013,Brazil,201721776.0,"rgb(65, 217, 209)"
6,6,2013,Nigeria,174726128.0,"rgb(0, 128, 0)"
7,7,2013,Bangladesh,154030144.0,"rgb(75, 227, 171)"
8,8,2013,Russia,143956864.0,"rgb(75, 155, 184)"
9,9,2013,Japan,127678920.0,"rgb(191, 63, 191)"
