,index,year,country,population,color
0,0,1986,China,1077770496.0,"rgb(255, 0, 0)"
1,1,1986,India,797878976.0,"rgb(252, 232, 3)"
2,2,1986,United States,237512784.0,"rgb(75, 120, 184)"
3,3,1986,Indonesia,169135280.0,"rgb(255, 124, 31)"
4,4,1986,Russia,144046480.0,"rgb(75, 155, 184)"
5,5,1986,Brazil,139643360.0,"rgb(65, 217, 209)"
6,6,1986,Japan,121710304.0,"rgb(191, 63, 191)"
7,7,1986,Pakistan,100618520.0,"rgb(2, 161, 49)"
8,8,1986,Bangladesh,98271752.0,"rgb(75, 227, 171)"
9,9,1986,Nigeria,85804192.0,"rgb(0, 128, 0)"
