,index,year,country,population,color
0,0,2016,China,1401889664.0,"rgb(255, 0, 0)"
1,1,2016,India,1338636288.0,"rgb(252, 232, 3)"
2,2,2016,United States,327210208.0,"rgb(75, 120, 184)"
3,3,2016,Indonesia,261850176.0,"rgb(255, 124, 31)"
4,4,2016,Pakistan,213524848.0,"rgb(2, 161, 49)"
5,5,2016,Brazil,206859584.0,"rgb(65, 217, 209)"
6,6,2016,Nigeria,188666928.0,"rgb(0, 128, 0)"
7,7,2016,Bangladesh,159784576.0,"rgb(75, 227, 171)"
8,8,2016,Russia,145109152.0,"rgb(75, 155, 184)"
9,9,2016,Japan,126993856.0,"rgb(191, 63, 191)"
