,index,year,country,population,color
0,0,1964,China,704593792.0,"rgb(255, 0, 0)"
1,1,1964,India,489059296.0,"rgb(252, 232, 3)"
2,2,1964,United States,187277376.0,"rgb(75, 120, 184)"
3,3,1964,Indonesia,98675064.0,"rgb(255, 124, 31)"
4,4,1964,Japan,98319344.0,"rgb(191, 63, 191)"
5,5,1964,Brazil,82262800.0,"rgb(65, 217, 209)"
6,6,1964,Germany,75423248.0,"rgb(0, 0, 0)"
7,7,1964,Bangladesh,56774476.0,"rgb(75, 227, 171)"
8,8,1964,United Kingdom,53861504.0,"rgb(0, 36, 125)"
9,9,1964,Italy,50997780.0,"rgb(131, 14, 173)"
