,index,year,country,population,color
0,0,1990,China,1153704192.0,"rgb(255, 0, 0)"
1,1,1990,India,870452160.0,"rgb(252, 232, 3)"
2,2,1990,United States,248083728.0,"rgb(75, 120, 184)"
3,3,1990,Indonesia,182159888.0,"rgb(255, 124, 31)"
4,4,1990,Brazil,150706448.0,"rgb(65, 217, 209)"
5,5,1990,Russia,148005696.0,"rgb(75, 155, 184)"
6,6,1990,Japan,123686320.0,"rgb(191, 63, 191)"
7,7,1990,Pakistan,115414072.0,"rgb(2, 161, 49)"
8,8,1990,Bangladesh,107147656.0,"rgb(75, 227, 171)"
9,9,1990,Nigeria,95214256.0,"rgb(0, 128, 0)"
