,index,year,country,population,color
0,0,1951,China,553614016.0,"rgb(255, 0, 0)"
1,1,1951,India,364922368.0,"rgb(252, 232, 3)"
2,2,1951,United States,150598448.0,"rgb(75, 120, 184)"
3,3,1951,Japan,85683472.0,"rgb(191, 63, 191)"
4,4,1951,Indonesia,71019352.0,"rgb(255, 124, 31)"
5,5,1951,Germany,70820040.0,"rgb(0, 0, 0)"
6,6,1951,Brazil,55591060.0,"rgb(65, 217, 209)"
7,7,1951,United Kingdom,50271908.0,"rgb(0, 36, 125)"
8,8,1951,Italy,46750764.0,"rgb(131, 14, 173)"
9,9,1951,France,42196660.0,"rgb(227, 98, 158)"
