,index,year,country,population,color
0,0,1945,China,525143778.0,"rgb(255, 0, 0)"
1,1,1945,India,364746467.0,"rgb(252, 232, 3)"
2,2,1945,United States,138111665.0,"rgb(75, 120, 184)"
3,3,1945,Japan,78819521.0,"rgb(191, 63, 191)"
4,4,1945,Germany,71376625.0,"rgb(0, 0, 0)"
5,5,1945,Indonesia,64894598.0,"rgb(255, 124, 31)"
6,6,1945,United Kingdom,49081483.0,"rgb(0, 36, 125)"
7,7,1945,Brazil,47230706.0,"rgb(65, 217, 209)"
8,8,1945,Italy,45001776.0,"rgb(131, 14, 173)"
9,9,1945,France,40952105.0,"rgb(227, 98, 158)"
