,index,year,country,population,color
0,0,2006,China,1313086592.0,"rgb(255, 0, 0)"
1,1,2006,India,1172373760.0,"rgb(252, 232, 3)"
2,2,2006,United States,299753088.0,"rgb(75, 120, 184)"
3,3,2006,Indonesia,231797424.0,"rgb(255, 124, 31)"
4,4,2006,Brazil,188820688.0,"rgb(65, 217, 209)"
5,5,2006,Pakistan,178069984.0,"rgb(2, 161, 49)"
6,6,2006,Nigeria,144329760.0,"rgb(0, 128, 0)"
7,7,2006,Russia,143338672.0,"rgb(75, 155, 184)"
8,8,2006,Bangladesh,142628832.0,"rgb(75, 227, 171)"
9,9,2006,Japan,127902168.0,"rgb(191, 63, 191)"
