,index,year,country,population,color
0,0,1971,China,843285440.0,"rgb(255, 0, 0)"
1,1,1971,India,569999168.0,"rgb(252, 232, 3)"
2,2,1971,United States,202907920.0,"rgb(75, 120, 184)"
3,3,1971,Indonesia,118347136.0,"rgb(255, 124, 31)"
4,4,1971,Japan,106789360.0,"rgb(191, 63, 191)"
5,5,1971,Brazil,98766288.0,"rgb(65, 217, 209)"
6,6,1971,Germany,78511408.0,"rgb(0, 0, 0)"
7,7,1971,Bangladesh,68376208.0,"rgb(75, 227, 171)"
8,8,1971,Pakistan,60878784.0,"rgb(2, 161, 49)"
9,9,1971,Nigeria,56837616.0,"rgb(0, 128, 0)"
