,index,year,country,population,color
0,0,2002,China,1280926080.0,"rgb(255, 0, 0)"
1,1,2002,India,1098313088.0,"rgb(252, 232, 3)"
2,2,2002,United States,288350240.0,"rgb(75, 120, 184)"
3,3,2002,Indonesia,220115088.0,"rgb(255, 124, 31)"
4,4,2002,Brazil,180476688.0,"rgb(65, 217, 209)"
5,5,2002,Pakistan,163262800.0,"rgb(2, 161, 49)"
6,6,2002,Russia,145590144.0,"rgb(75, 155, 184)"
7,7,2002,Bangladesh,134139824.0,"rgb(75, 227, 171)"
8,8,2002,Nigeria,129583032.0,"rgb(0, 128, 0)"
9,9,2002,Japan,127301744.0,"rgb(191, 63, 191)"
