,index,year,country,population,color
0,0,1906,China,408803510.0,"rgb(255, 0, 0)"
1,1,1906,India,289707671.0,"rgb(252, 232, 3)"
2,2,1906,United States,83829992.0,"rgb(75, 120, 184)"
3,3,1906,Germany,60982895.0,"rgb(0, 0, 0)"
4,4,1906,Japan,47589051.0,"rgb(191, 63, 191)"
5,5,1906,United Kingdom,43311511.0,"rgb(0, 36, 125)"
6,6,1906,Indonesia,41018198.0,"rgb(255, 124, 31)"
7,7,1906,France,40315932.0,"rgb(227, 98, 158)"
8,8,1906,Italy,34931305.0,"rgb(131, 14, 173)"
9,9,1906,Bangladesh,27507290.0,"rgb(75, 227, 171)"
