,index,year,country,population,color
0,0,2022,China,1425887360.0,"rgb(255, 0, 0)"
1,1,2022,India,1417173120.0,"rgb(252, 232, 3)"
2,2,2022,United States,338289856.0,"rgb(75, 120, 184)"
3,3,2022,Indonesia,275501344.0,"rgb(255, 124, 31)"
4,4,2022,Pakistan,235824864.0,"rgb(2, 161, 49)"
5,5,2022,Nigeria,218541216.0,"rgb(0, 128, 0)"
6,6,2022,Brazil,215313504.0,"rgb(65, 217, 209)"
7,7,2022,Bangladesh,171186368.0,"rgb(75, 227, 171)"
8,8,2022,Russia,144713312.0,"rgb(75, 155, 184)"
9,9,2022,Mexico,127504120.0,"rgb(0, 104, 71)"
