,index,year,country,population,color
0,0,1987,China,1096851840.0,"rgb(255, 0, 0)"
1,1,1987,India,815716160.0,"rgb(252, 232, 3)"
2,2,1987,United States,239853168.0,"rgb(75, 120, 184)"
3,3,1987,Indonesia,172421392.0,"rgb(255, 124, 31)"
4,4,1987,Russia,145312016.0,"rgb(75, 155, 184)"
5,5,1987,Brazil,142466272.0,"rgb(65, 217, 209)"
6,6,1987,Japan,122268888.0,"rgb(191, 63, 191)"
7,7,1987,Pakistan,104251096.0,"rgb(2, 161, 49)"
8,8,1987,Bangladesh,100490256.0,"rgb(75, 227, 171)"
9,9,1987,Nigeria,88044192.0,"rgb(0, 128, 0)"
