,index,year,country,population,color
0,0,1966,China,742948544.0,"rgb(255, 0, 0)"
1,1,1966,India,510992608.0,"rgb(252, 232, 3)"
2,2,1966,United States,191830976.0,"rgb(75, 120, 184)"
3,3,1966,Indonesia,103561104.0,"rgb(255, 124, 31)"
4,4,1966,Japan,100466904.0,"rgb(191, 63, 191)"
5,5,1966,Brazil,86979288.0,"rgb(65, 217, 209)"
6,6,1966,Germany,76618720.0,"rgb(0, 0, 0)"
7,7,1966,Bangladesh,60265264.0,"rgb(75, 227, 171)"
8,8,1966,United Kingdom,54560504.0,"rgb(0, 36, 125)"
9,9,1966,Pakistan,53199420.0,"rgb(2, 161, 49)"
