,index,year,country,population,color
0,0,1965,China,723846336.0,"rgb(255, 0, 0)"
1,1,1965,India,500114336.0,"rgb(252, 232, 3)"
2,2,1965,United States,189703280.0,"rgb(75, 120, 184)"
3,3,1965,Indonesia,101157872.0,"rgb(255, 124, 31)"
4,4,1965,Japan,99468752.0,"rgb(191, 63, 191)"
5,5,1965,Brazil,84623752.0,"rgb(65, 217, 209)"
6,6,1965,Germany,76037464.0,"rgb(0, 0, 0)"
7,7,1965,Bangladesh,58500156.0,"rgb(75, 227, 171)"
8,8,1965,United Kingdom,54229568.0,"rgb(0, 36, 125)"
9,9,1965,Pakistan,51841628.0,"rgb(2, 161, 49)"
