,index,year,country,population,color
0,0,1943,China,519643036.0,"rgb(255, 0, 0)"
1,1,1943,India,370228201.0,"rgb(252, 232, 3)"
2,2,1943,United States,134350677.0,"rgb(75, 120, 184)"
3,3,1943,Japan,76666406.0,"rgb(191, 63, 191)"
4,4,1943,Germany,71678963.0,"rgb(0, 0, 0)"
5,5,1943,Indonesia,64402814.0,"rgb(255, 124, 31)"
6,6,1943,United Kingdom,48703433.0,"rgb(0, 36, 125)"
7,7,1943,Brazil,44817135.0,"rgb(65, 217, 209)"
8,8,1943,Italy,44460808.0,"rgb(131, 14, 173)"
9,9,1943,France,40655418.0,"rgb(227, 98, 158)"
