,index,year,country,population,color
0,0,2012,China,1366560768.0,"rgb(255, 0, 0)"
1,1,2012,India,1274487168.0,"rgb(252, 232, 3)"
2,2,2012,United States,316651328.0,"rgb(75, 120, 184)"
3,3,2012,Indonesia,250222688.0,"rgb(255, 124, 31)"
4,4,2012,Pakistan,202205856.0,"rgb(2, 161, 49)"
5,5,2012,Brazil,199977712.0,"rgb(65, 217, 209)"
6,6,2012,Nigeria,170075936.0,"rgb(0, 128, 0)"
7,7,2012,Bangladesh,152090656.0,"rgb(75, 227, 171)"
8,8,2012,Russia,143629360.0,"rgb(75, 155, 184)"
9,9,2012,Japan,127853688.0,"rgb(191, 63, 191)"
