,index,year,country,population,color
0,0,1949,China,537916245.0,"rgb(255, 0, 0)"
1,1,1949,India,355893489.0,"rgb(252, 232, 3)"
2,2,1949,United States,146051521.0,"rgb(75, 120, 184)"
3,3,1949,Japan,83270008.0,"rgb(191, 63, 191)"
4,4,1949,Germany,70888212.0,"rgb(0, 0, 0)"
5,5,1949,Indonesia,68405199.0,"rgb(255, 124, 31)"
6,6,1949,Brazil,52489682.0,"rgb(65, 217, 209)"
7,7,1949,United Kingdom,49851583.0,"rgb(0, 36, 125)"
8,8,1949,Italy,46106450.0,"rgb(131, 14, 173)"
9,9,1949,France,41598134.0,"rgb(227, 98, 158)"
