,index,year,country,population,color
0,0,2001,China,1272739584.0,"rgb(255, 0, 0)"
1,1,2001,India,1078970880.0,"rgb(252, 232, 3)"
2,2,2001,United States,285470496.0,"rgb(75, 120, 184)"
3,3,2001,Indonesia,217112432.0,"rgb(255, 124, 31)"
4,4,2001,Brazil,178211888.0,"rgb(65, 217, 209)"
5,5,2001,Pakistan,159217728.0,"rgb(2, 161, 49)"
6,6,2001,Russia,146235520.0,"rgb(75, 155, 184)"
7,7,2001,Bangladesh,131670488.0,"rgb(75, 227, 171)"
8,8,2001,Japan,127065736.0,"rgb(191, 63, 191)"
9,9,2001,Nigeria,126152680.0,"rgb(0, 128, 0)"
