,index,year,country,population,color
0,0,1953,China,577378688.0,"rgb(255, 0, 0)"
1,1,1953,India,381227712.0,"rgb(252, 232, 3)"
2,2,1953,United States,155451200.0,"rgb(75, 120, 184)"
3,3,1953,Japan,88057136.0,"rgb(191, 63, 191)"
4,4,1953,Indonesia,74207992.0,"rgb(255, 124, 31)"
5,5,1953,Germany,70879448.0,"rgb(0, 0, 0)"
6,6,1953,Brazil,59025680.0,"rgb(65, 217, 209)"
7,7,1953,United Kingdom,50728620.0,"rgb(0, 36, 125)"
8,8,1953,Italy,47412148.0,"rgb(131, 14, 173)"
9,9,1953,France,42883300.0,"rgb(227, 98, 158)"
