,index,year,country,population,color
0,0,1998,China,1246836096.0,"rgb(255, 0, 0)"
1,1,1998,India,1021434560.0,"rgb(252, 232, 3)"
2,2,1998,United States,275835008.0,"rgb(75, 120, 184)"
3,3,1998,Indonesia,207855488.0,"rgb(255, 124, 31)"
4,4,1998,Brazil,171039808.0,"rgb(65, 217, 209)"
5,5,1998,Russia,147672720.0,"rgb(75, 155, 184)"
6,6,1998,Pakistan,145476112.0,"rgb(2, 161, 49)"
7,7,1998,Japan,126308392.0,"rgb(191, 63, 191)"
8,8,1998,Bangladesh,124350472.0,"rgb(75, 227, 171)"
9,9,1998,Nigeria,116690528.0,"rgb(0, 128, 0)"
