,index,year,country,population,color
0,0,1976,China,929375936.0,"rgb(255, 0, 0)"
1,1,1976,India,637451456.0,"rgb(252, 232, 3)"
2,2,1976,United States,213270032.0,"rgb(75, 120, 184)"
3,3,1976,Indonesia,134521024.0,"rgb(255, 124, 31)"
4,4,1976,Japan,113624872.0,"rgb(191, 63, 191)"
5,5,1976,Brazil,111286504.0,"rgb(65, 217, 209)"
6,6,1976,Germany,78364216.0,"rgb(0, 0, 0)"
7,7,1976,Bangladesh,76380080.0,"rgb(75, 227, 171)"
8,8,1976,Pakistan,70230928.0,"rgb(2, 161, 49)"
9,9,1976,Nigeria,64658312.0,"rgb(0, 128, 0)"
