,index,year,country,population,color
0,0,1948,China,533504263.0,"rgb(255, 0, 0)"
1,1,1948,India,356675672.0,"rgb(252, 232, 3)"
2,2,1948,United States,143951473.0,"rgb(75, 120, 184)"
3,3,1948,Japan,82163102.0,"rgb(191, 63, 191)"
4,4,1948,Germany,70925507.0,"rgb(0, 0, 0)"
5,5,1948,Indonesia,67261032.0,"rgb(255, 124, 31)"
6,6,1948,Brazil,51096948.0,"rgb(65, 217, 209)"
7,7,1948,United Kingdom,49654066.0,"rgb(0, 36, 125)"
8,8,1948,Italy,45825595.0,"rgb(131, 14, 173)"
9,9,1948,France,41401199.0,"rgb(227, 98, 158)"
