,index,year,country,population,color
0,0,2005,China,1304887552.0,"rgb(255, 0, 0)"
1,1,2005,India,1154638720.0,"rgb(252, 232, 3)"
2,2,2005,United States,296842656.0,"rgb(75, 120, 184)"
3,3,2005,Indonesia,228805152.0,"rgb(255, 124, 31)"
4,4,2005,Brazil,186797344.0,"rgb(65, 217, 209)"
5,5,2005,Pakistan,174372096.0,"rgb(2, 161, 49)"
6,6,2005,Russia,143800048.0,"rgb(75, 155, 184)"
7,7,2005,Bangladesh,140912592.0,"rgb(75, 227, 171)"
8,8,2005,Nigeria,140490720.0,"rgb(0, 128, 0)"
9,9,2005,Japan,127798376.0,"rgb(191, 63, 191)"
