,index,year,country,population,color
0,0,1962,China,664614656.0,"rgb(255, 0, 0)"
1,1,1962,India,467024192.0,"rgb(252, 232, 3)"
2,2,1962,United States,181917808.0,"rgb(75, 120, 184)"
3,3,1962,Japan,96267888.0,"rgb(191, 63, 191)"
4,4,1962,Indonesia,93345496.0,"rgb(255, 124, 31)"
5,5,1962,Brazil,77599224.0,"rgb(65, 217, 209)"
6,6,1962,Germany,74194424.0,"rgb(0, 0, 0)"
7,7,1962,Bangladesh,53461664.0,"rgb(75, 227, 171)"
8,8,1962,United Kingdom,53183636.0,"rgb(0, 36, 125)"
9,9,1962,Italy,50162244.0,"rgb(131, 14, 173)"
