,index,year,country,population,color
0,0,1914,China,436082439.0,"rgb(255, 0, 0)"
1,1,1914,India,297338132.0,"rgb(252, 232, 3)"
2,2,1914,United States,95533839.0,"rgb(75, 120, 184)"
3,3,1914,Germany,64033646.0,"rgb(0, 0, 0)"
4,4,1914,Japan,52339865.0,"rgb(191, 63, 191)"
5,5,1914,United Kingdom,45592500.0,"rgb(0, 36, 125)"
6,6,1914,Indonesia,44647319.0,"rgb(255, 124, 31)"
7,7,1914,France,39582334.0,"rgb(227, 98, 158)"
8,8,1914,Italy,36358965.0,"rgb(131, 14, 173)"
9,9,1914,Bangladesh,28141120.0,"rgb(75, 227, 171)"
