,index,year,country,population,color
0,0,2018,China,1417069440.0,"rgb(255, 0, 0)"
1,1,2018,India,1369003264.0,"rgb(252, 232, 3)"
2,2,2018,United States,332140032.0,"rgb(75, 120, 184)"
3,3,2018,Indonesia,267066848.0,"rgb(255, 124, 31)"
4,4,2018,Pakistan,219731488.0,"rgb(2, 161, 49)"
5,5,2018,Brazil,210166592.0,"rgb(65, 217, 209)"
6,6,2018,Nigeria,198387616.0,"rgb(0, 128, 0)"
7,7,2018,Bangladesh,163683952.0,"rgb(75, 227, 171)"
8,8,2018,Russia,145652288.0,"rgb(75, 155, 184)"
9,9,2018,Japan,126255872.0,"rgb(191, 63, 191)"
