,index,year,country,population,color
0,0,1994,China,1207286656.0,"rgb(255, 0, 0)"
1,1,1994,India,945261952.0,"rgb(252, 232, 3)"
2,2,1994,United States,262273584.0,"rgb(75, 120, 184)"
3,3,1994,Indonesia,194928544.0,"rgb(255, 124, 31)"
4,4,1994,Brazil,160980480.0,"rgb(65, 217, 209)"
5,5,1994,Russia,148829120.0,"rgb(75, 155, 184)"
6,6,1994,Pakistan,129245136.0,"rgb(2, 161, 49)"
7,7,1994,Japan,125119264.0,"rgb(191, 63, 191)"
8,8,1994,Bangladesh,115614904.0,"rgb(75, 227, 171)"
9,9,1994,Nigeria,105456120.0,"rgb(0, 128, 0)"
