,index,year,country,population,color
0,0,1952,China,564954496.0,"rgb(255, 0, 0)"
1,1,1952,India,372997184.0,"rgb(252, 232, 3)"
2,2,1952,United States,152941728.0,"rgb(75, 120, 184)"
3,3,1952,Japan,86921760.0,"rgb(191, 63, 191)"
4,4,1952,Indonesia,72570832.0,"rgb(255, 124, 31)"
5,5,1952,Germany,70808376.0,"rgb(0, 0, 0)"
6,6,1952,Brazil,57283340.0,"rgb(65, 217, 209)"
7,7,1952,United Kingdom,50484812.0,"rgb(0, 36, 125)"
8,8,1952,Italy,47016488.0,"rgb(131, 14, 173)"
9,9,1952,France,42542396.0,"rgb(227, 98, 158)"
