,index,year,country,population,color
0,0,1934,China,493683911.0,"rgb(255, 0, 0)"
1,1,1934,India,348232496.0,"rgb(252, 232, 3)"
2,2,1934,United States,123580010.0,"rgb(75, 120, 184)"
3,3,1934,Germany,69152129.0,"rgb(0, 0, 0)"
4,4,1934,Japan,68109421.0,"rgb(191, 63, 191)"
5,5,1934,Indonesia,56592409.0,"rgb(255, 124, 31)"
6,6,1934,United Kingdom,46714602.0,"rgb(0, 36, 125)"
7,7,1934,Italy,41530635.0,"rgb(131, 14, 173)"
8,8,1934,France,40571892.0,"rgb(227, 98, 158)"
9,9,1934,Brazil,36670335.0,"rgb(65, 217, 209)"
