,index,year,country,population,color
0,0,1961,China,655260352.0,"rgb(255, 0, 0)"
1,1,1961,India,456351872.0,"rgb(252, 232, 3)"
2,2,1961,United States,179087280.0,"rgb(75, 120, 184)"
3,3,1961,Japan,95355464.0,"rgb(191, 63, 191)"
4,4,1961,Indonesia,90816944.0,"rgb(255, 124, 31)"
5,5,1961,Brazil,75330008.0,"rgb(65, 217, 209)"
6,6,1961,Germany,73604352.0,"rgb(0, 0, 0)"
7,7,1961,United Kingdom,52861256.0,"rgb(0, 36, 125)"
8,8,1961,Bangladesh,51882776.0,"rgb(75, 227, 171)"
9,9,1961,Italy,49812724.0,"rgb(131, 14, 173)"
