,index,year,country,population,color
0,0,1919,China,459658818.0,"rgb(255, 0, 0)"
1,1,1919,India,299273541.0,"rgb(252, 232, 3)"
2,2,1919,United States,102419259.0,"rgb(75, 120, 184)"
3,3,1919,Germany,63226761.0,"rgb(0, 0, 0)"
4,4,1919,Japan,55611871.0,"rgb(191, 63, 191)"
5,5,1919,Indonesia,46707410.0,"rgb(255, 124, 31)"
6,6,1919,United Kingdom,46487478.0,"rgb(0, 36, 125)"
7,7,1919,France,38558175.0,"rgb(227, 98, 158)"
8,8,1919,Italy,36789373.0,"rgb(131, 14, 173)"
9,9,1919,Bangladesh,28509501.0,"rgb(75, 227, 171)"
