,index,year,country,population,color
0,0,1996,China,1228298880.0,"rgb(255, 0, 0)"
1,1,1996,India,983281216.0,"rgb(252, 232, 3)"
2,2,1996,United States,268984352.0,"rgb(75, 120, 184)"
3,3,1996,Indonesia,201373792.0,"rgb(255, 124, 31)"
4,4,1996,Brazil,166037120.0,"rgb(65, 217, 209)"
5,5,1996,Russia,148233408.0,"rgb(75, 155, 184)"
6,6,1996,Pakistan,137234816.0,"rgb(2, 161, 49)"
7,7,1996,Japan,125726224.0,"rgb(191, 63, 191)"
8,8,1996,Bangladesh,119876872.0,"rgb(75, 227, 171)"
9,9,1996,Nigeria,110956184.0,"rgb(0, 128, 0)"
