,index,year,country,population,color
0,0,1974,China,899367680.0,"rgb(255, 0, 0)"
1,1,1974,India,609721920.0,"rgb(252, 232, 3)"
2,2,1974,United States,209277968.0,"rgb(75, 120, 184)"
3,3,1974,Indonesia,127945192.0,"rgb(255, 124, 31)"
4,4,1974,Japan,111100024.0,"rgb(191, 63, 191)"
5,5,1974,Brazil,106167376.0,"rgb(65, 217, 209)"
6,6,1974,Germany,78620536.0,"rgb(0, 0, 0)"
7,7,1974,Bangladesh,72947808.0,"rgb(75, 227, 171)"
8,8,1974,Pakistan,66149172.0,"rgb(2, 161, 49)"
9,9,1974,Nigeria,61157940.0,"rgb(0, 128, 0)"
