,index,year,country,population,color
0,0,2004,China,1296816768.0,"rgb(255, 0, 0)"
1,1,2004,India,1136264576.0,"rgb(252, 232, 3)"
2,2,2004,United States,293947872.0,"rgb(75, 120, 184)"
3,3,2004,Indonesia,225938592.0,"rgb(255, 124, 31)"
4,4,2004,Brazil,184722048.0,"rgb(65, 217, 209)"
5,5,2004,Pakistan,170648624.0,"rgb(2, 161, 49)"
6,6,2004,Russia,144353648.0,"rgb(75, 155, 184)"
7,7,2004,Bangladesh,138789728.0,"rgb(75, 227, 171)"
8,8,2004,Nigeria,136756848.0,"rgb(0, 128, 0)"
9,9,2004,Japan,127671288.0,"rgb(191, 63, 191)"
