,index,year,country,population,color
0,0,1970,China,822534464.0,"rgb(255, 0, 0)"
1,1,1970,India,557501312.0,"rgb(252, 232, 3)"
2,2,1970,United States,200328336.0,"rgb(75, 120, 184)"
3,3,1970,Indonesia,115228392.0,"rgb(255, 124, 31)"
4,4,1970,Japan,105416840.0,"rgb(191, 63, 191)"
5,5,1970,Brazil,96369888.0,"rgb(65, 217, 209)"
6,6,1970,Germany,78294592.0,"rgb(0, 0, 0)"
7,7,1970,Bangladesh,67541864.0,"rgb(75, 227, 171)"
8,8,1970,Pakistan,59290872.0,"rgb(2, 161, 49)"
9,9,1970,United Kingdom,55650160.0,"rgb(0, 36, 125)"
