,index,year,country,population,color
0,0,1991,China,1170626176.0,"rgb(255, 0, 0)"
1,1,1991,India,888941760.0,"rgb(252, 232, 3)"
2,2,1991,United States,251560192.0,"rgb(75, 120, 184)"
3,3,1991,Indonesia,185361232.0,"rgb(255, 124, 31)"
4,4,1991,Brazil,153336448.0,"rgb(65, 217, 209)"
5,5,1991,Russia,148455408.0,"rgb(75, 155, 184)"
6,6,1991,Japan,124073992.0,"rgb(191, 63, 191)"
7,7,1991,Pakistan,119203576.0,"rgb(2, 161, 49)"
8,8,1991,Bangladesh,109242832.0,"rgb(75, 227, 171)"
9,9,1991,Nigeria,97685360.0,"rgb(0, 128, 0)"
