,index,year,country,population,color
0,0,1957,China,630003008.0,"rgb(255, 0, 0)"
1,1,1957,India,416935392.0,"rgb(252, 232, 3)"
2,2,1957,United States,166949120.0,"rgb(75, 120, 184)"
3,3,1957,Japan,91837664.0,"rgb(191, 63, 191)"
4,4,1957,Indonesia,81690984.0,"rgb(255, 124, 31)"
5,5,1957,Germany,71771632.0,"rgb(0, 0, 0)"
6,6,1957,Brazil,66660892.0,"rgb(65, 217, 209)"
7,7,1957,United Kingdom,51682404.0,"rgb(0, 36, 125)"
8,8,1957,Italy,48660256.0,"rgb(131, 14, 173)"
9,9,1957,Bangladesh,46560516.0,"rgb(75, 227, 171)"
