,index,year,country,population,color
0,0,1978,China,955138944.0,"rgb(255, 0, 0)"
1,1,1978,India,666267776.0,"rgb(252, 232, 3)"
2,2,1978,United States,217881440.0,"rgb(75, 120, 184)"
3,3,1978,Indonesia,141250960.0,"rgb(255, 124, 31)"
4,4,1978,Brazil,116664384.0,"rgb(65, 217, 209)"
5,5,1978,Japan,115809520.0,"rgb(191, 63, 191)"
6,6,1978,Bangladesh,80007552.0,"rgb(75, 227, 171)"
7,7,1978,Germany,78071552.0,"rgb(0, 0, 0)"
8,8,1978,Pakistan,74789328.0,"rgb(2, 161, 49)"
9,9,1978,Nigeria,68633344.0,"rgb(0, 128, 0)"
