,index,year,country,population,color
0,0,1954,China,589936000.0,"rgb(255, 0, 0)"
1,1,1954,India,389731392.0,"rgb(252, 232, 3)"
2,2,1954,United States,158205872.0,"rgb(75, 120, 184)"
3,3,1954,Japan,89093016.0,"rgb(191, 63, 191)"
4,4,1954,Indonesia,75925328.0,"rgb(255, 124, 31)"
5,5,1954,Germany,71020736.0,"rgb(0, 0, 0)"
6,6,1954,Brazil,60827596.0,"rgb(65, 217, 209)"
7,7,1954,United Kingdom,50969936.0,"rgb(0, 36, 125)"
8,8,1954,Italy,47833768.0,"rgb(131, 14, 173)"
9,9,1954,Bangladesh,43282036.0,"rgb(75, 227, 171)"
