,index,year,country,population,color
0,0,1930,China,482831090.0,"rgb(255, 0, 0)"
1,1,1930,India,330163509.0,"rgb(252, 232, 3)"
2,2,1930,United States,119629770.0,"rgb(75, 120, 184)"
3,3,1930,Germany,67246048.0,"rgb(0, 0, 0)"
4,4,1930,Japan,64665549.0,"rgb(191, 63, 191)"
5,5,1930,Indonesia,53422386.0,"rgb(255, 124, 31)"
6,6,1930,United Kingdom,45980369.0,"rgb(0, 36, 125)"
7,7,1930,France,40618294.0,"rgb(227, 98, 158)"
8,8,1930,Italy,40159184.0,"rgb(131, 14, 173)"
9,9,1930,Brazil,33813213.0,"rgb(65, 217, 209)"
